word_key,structure_case,base_term,de_translation,detected_level,detected_package,detected_topic,review_decision,review_note,reviewer,reviewed_at
e14579d5-300c-4845-9603-d3b27ccf345f,level_topic,ad,Anzeige/Werbung,B1,,Media & News,map_word_world,level=B1; word_world=Media & News,Andreas,2026-05-30
88389ee6-0548-482a-b591-a0337bd489f5,level_topic,adaptation,Anpassung,C1,,Environment,map_word_world,level=C1; word_world=Environment,Andreas,2026-05-30
3363a26e-ae4d-43c7-a5f4-9f2aaff0a7c0,level_topic,aesthetic,ästhetik,C1,,Art & Literature,map_word_world,level=C1; word_world=Art & Literature,Andreas,2026-05-30
1bde0f83-6f61-442d-be8f-5d28274f86af,level_topic,affordable,erschwinglich,B2,,Money & Shopping,map_word_world,level=B2; word_world=Money & Shopping,Andreas,2026-05-30
1e8579bc-cadf-42ed-9553-e1a7a5627bc6,level_topic,agenda,Tagesordnung,B1; B2,,Work & Careers,map_word_world,level=B1; B2; word_world=Work & Careers,Andreas,2026-05-30
1680ec4f-5390-43b4-8418-07714be3f269,level_topic,aggressive,aggressiv,B2; C1,,Animals,map_word_world,level=B2; C1; word_world=Animals,Andreas,2026-05-30
754df01a-debe-4314-9936-24a2a0bf3ee8,level_topic,agreement,Vereinbarung,B1,,Relationships,map_word_world,level=B1; word_world=Relationships,Andreas,2026-05-30
7d416fbd-f2b3-4f44-b8db-09cf8076a500,level_topic,alcohol,alkohol,B1,,Science,map_word_world,level=B1; word_world=Science,Andreas,2026-05-30
028f098f-a545-4ab0-bedb-5596cdb23ec0,level_topic,allowance,Freibetrag,C1,,Money & Shopping,map_word_world,level=C1; word_world=Money & Shopping,Andreas,2026-05-30
68bce87a-021c-471e-bf8b-f3b88c439530,level_top_500_topic,air,Luft,A1,Top 500 Words,Environment,map_package,level=A1; package=Top 500 Words; word_world=Environment,Andreas,2026-05-30
c1015783-60e2-4059-b052-e60e5b855c40,level_top_500_topic,airport,Flughafen,A1,Top 500 Words,Travel,map_package,level=A1; package=Top 500 Words; word_world=Travel,Andreas,2026-05-30
f34f5630-5a16-4a78-a317-e0f55986adab,multi_topic,accelerate,beschleunigen,C1,,Productivity; Transport,map_word_world,level=C1; word_world=Productivity; Transport; mehrere Wortwelten fachlich später einzeln prüfen,Andreas,2026-05-30
814c3af3-9af0-47ff-ac0a-753095db1ec2,multi_topic,accountable,rechenschaftspflichtig,C1,,Law & Politics; Media & News,map_word_world,level=C1; word_world=Law & Politics; Media & News; mehrere Wortwelten fachlich später einzeln prüfen,Andreas,2026-05-30
