issue_type,word_key,base_language,base_term,de_translation,level,category,word_world,detail
level_as_category_or_word_world,e9e1b235-7eb6-4c5b-ba3c-549473c348a2,en,acceptance,akzeptanz,C1,C1,C1,
level_as_category_or_word_world,77ceb8b1-4986-4546-b7c3-73558fceda05,en,access,zugang,B1,B1,B1,
level_as_category_or_word_world,4bdadb9b-c481-4f99-a4e4-36648efd0c68,en,accessible,zugänglich,C1,C1,C1,
level_as_category_or_word_world,911b7ddb-6ec5-43f9-87b9-1de10c7bee51,en,accident,unfall,A2,A2,A2,
level_as_category_or_word_world,63c92133-9f20-4775-95b0-2ea1fad6ae04,en,accidentally,versehentlich,B2,B2,B2,
level_as_category_or_word_world,3381b378-a7c2-406a-8485-ac3aef111992,en,accommodate,beherbergen,B2,B2,B2,
level_as_category_or_word_world,61449614-326e-4b8a-ad29-964e509f7618,en,accommodation,unterkunft,B2,B2,B2,
level_as_category_or_word_world,3264af29-8532-43f6-80db-52d043ed2562,en,accompany,begleiten,B2,B2,B2,
level_as_category_or_word_world,af48d112-12ab-4c23-a889-297668951b6e,en,accomplish,erreichen,B2,B2; Productivity,Productivity,
level_as_category_or_word_world,b19cb9fd-fc00-45c1-8d25-fb9ae6e0dae4,en,accord,übereinstimmung,C2,C2,C2,
level_as_category_or_word_world,ab95b1df-6975-4f65-b355-6e531acc8d41,en,according,laut,A2,A2,A2,
level_as_category_or_word_world,28a979ad-771f-4d71-8b66-705648aac246,en,account,Konto,B2,B1; B2; Money & Shopping,Money & Shopping,
level_as_category_or_word_world,6bcf5843-588d-48c6-8803-a76a479daab8,en,accountability,Verantwortungsübernahme,C1,C1; Relationships,Relationships,
level_as_category_or_word_world,814c3af3-9af0-47ff-ac0a-753095db1ec2,en,accountable,rechenschaftspflichtig,C1,C1; Law & Politics; Media & News,Law & Politics; Media & News,
level_as_category_or_word_world,9e1e69c8-6b9a-4c64-a6ac-96d0268a809a,en,accountant,Buchhalter/in,A2,B2; Work & Careers,Work & Careers,
level_as_category_or_word_world,4d8ee813-fbee-4260-82b9-4a4e52f720fa,en,accumulate,akkumulieren,C1,C1,C1,
level_as_category_or_word_world,6246f9a2-0ad2-4cae-b757-deb2e5928799,en,accumulation,akkumulation,C1,C1,C1,
level_as_category_or_word_world,4acb1d50-6ecd-4638-ada8-d3a54461e961,en,accuracy,genauigkeit,B2,B2,B2,
level_as_category_or_word_world,82302b79-c601-4c2e-b3d9-c09980e1c382,en,accurate,genau,B2,B2,B2,
level_as_category_or_word_world,56714135-43f8-41a4-8ab4-c663370b7da7,en,accurately,genau,B2,B2,B2,
level_as_category_or_word_world,157b66cb-6b1f-41c1-afda-dcba9ce05bde,en,accusation,anschuldigung,C1,C1,C1,
level_as_category_or_word_world,e7c2d52e-78a1-46a3-bd8a-7b071327e44b,en,accuse,beschuldigen,B2,B2,B2,
level_as_category_or_word_world,0b525ba3-7187-4fe4-baff-0ab65a97a4f9,en,accused,angeklagt,C1,C1,C1,
level_as_category_or_word_world,c35fd476-c405-447c-9084-cff1fb7d203c,en,achieve,erreichen,A2,A2; Productivity,Productivity,
level_as_category_or_word_world,529f38b6-1b60-4ef1-9f74-5c1962b39163,en,achievement,leistung,B1,B1,B1,
level_as_category_or_word_world,3463aaf1-8b4d-4cd9-a3e0-77d037bf1e29,en,acid,säure,C1,B2; C1; Science,Science,
level_as_category_or_word_world,2594868f-90f1-41bb-86d1-3339a049d26c,en,acknowledge,bestätigen Sie,B2,B2,B2,
level_as_category_or_word_world,18972ffc-e0cb-4304-ae26-9d5610c16e95,en,acquire,erwerben,B2,B2,B2,
level_as_category_or_word_world,e0821600-ca70-44ea-9f72-b5fd7a7e1c26,en,acquisition,erwerb,C1,C1,C1,
level_as_category_or_word_world,c939e35d-138d-4035-90ee-e7f33eee2669,en,acre,acre,B2,B2,B2,
level_as_category_or_word_world,b7414d53-ce07-42dd-887f-5d80f3dc31fb,en,across,über,A1,A1,A1,
level_as_category_or_word_world,36e11317-a915-4287-8d37-87b4842a4570,en,act,handeln,B1,A2; B1,A2; B1,
level_as_category_or_word_world,d1b85876-ae24-41e6-8f76-296dbfed5fe6,en,action,aktion,A1,A1,A1,
level_as_category_or_word_world,6c923bf3-1dc5-4def-95f5-3c0cdacd7f0c,en,activate,aktivieren,B2,B2,B2,
level_as_category_or_word_world,1427f182-36e7-4f89-9cc9-e65b43df9b33,en,activation,aktivierung,C1,C1,C1,
level_as_category_or_word_world,9dd1b2fb-bb93-49f5-9618-c4fd576cf500,en,active,aktiv,A2,A2,A2,
level_as_category_or_word_world,99d4863b-1265-4ecb-a66e-cca577c30eae,en,activist,aktivist,C1,C1,C1,
level_as_category_or_word_world,d82cc0e3-e39b-476e-91f7-491f5642ed83,en,activity,aktivität,A1,A1,A1,
level_as_category_or_word_world,83b408e6-0499-428e-b3d7-ed193bf52378,en,actor,schauspieler,A1,A1,A1,
level_as_category_or_word_world,065b4ad0-974e-49c0-a305-1b76eea4133f,en,actress,schauspielerin,A1,A1,A1,
level_as_category_or_word_world,6170ad6b-5e92-4449-bb0c-489c1d400e23,en,actual,aktuell,B2,B2,B2,
level_as_category_or_word_world,7f2b0560-4521-41cb-b40e-1c67cfaa93b2,en,actually,eigentlich,A2,A2,A2,
level_as_category_or_word_world,07d4e8c3-afb8-480c-9938-aa20fbe01b89,en,acute,akut,C1,C1,C1,
level_as_category_or_word_world,e14579d5-300c-4845-9603-d3b27ccf345f,en,ad,Anzeige/Werbung,B1,B1; Media & News,Media & News,
level_as_category_or_word_world,dff9d2ef-66b1-47b9-b3fc-2209b9b458b3,en,adapt,anpassen,B2,B2,B2,
level_as_category_or_word_world,88389ee6-0548-482a-b591-a0337bd489f5,en,adaptation,Anpassung,C1,C1; Environment,Environment,
level_as_category_or_word_world,f8da9f65-3574-46bc-ab02-7274e5fd4f06,en,add,hinzufügen,A1,A1,A1,
level_as_category_or_word_world,5590c060-3458-4a66-8afc-15f9199678f2,en,addiction,sucht,B2,B2,B2,
level_as_category_or_word_world,2da00fff-d82e-4e4a-9029-95526fa193f6,en,addition,zusatz,B1,B1,B1,
level_as_category_or_word_world,8ec27340-dcd3-4ccc-a24f-3344e904911e,en,additional,zusätzlich,B2,B2,B2,
level_as_category_or_word_world,6e4cb109-5068-4850-9bdc-8d3f9f6372c6,en,additionally,zusätzlich,B2,B2,B2,
level_as_category_or_word_world,1494802b-01cc-4507-9013-312ca2f86296,en,address,adresse,B2,A1; B2,A1; B2,
level_as_category_or_word_world,fa18c3da-bff3-467c-a971-a4d8db8b2869,en,adequate,angemessen,B2,B2,B2,
level_as_category_or_word_world,aefea765-3a15-43bc-8da9-35b0cbdd646f,en,adequately,angemessen,B2,B2,B2,
level_as_category_or_word_world,3e765e86-0f87-447f-961d-1e3700e6f34c,en,adhere,haften,C1,C1,C1,
level_as_category_or_word_world,85a6aa8a-53ea-44ad-b181-1a224486f928,en,adjacent,angrenzend,C1,C1,C1,
level_as_category_or_word_world,f91f2280-02de-4ffa-82dc-bd442443a67a,en,ADJECTIVE,ADJEKTIV,C2,C2,C2,
level_as_category_or_word_world,be34325f-8113-4d3d-a416-bc7c1fb43ab1,en,adjust,anpassen,B2,B2,B2,
level_as_category_or_word_world,932c99a2-e838-4f7a-9655-ee945d5dadaa,en,adjustment,anpassung,C1,C1,C1,
level_as_category_or_word_world,c01f09a2-3a47-4e85-9786-7c691f37851d,en,administer,verwalten,C1,C1,C1,
level_as_category_or_word_world,10a6521d-e44d-42f3-bf64-a421720d7ef4,en,administration,verwaltung,B1,B1,B1,
level_as_category_or_word_world,d05f6fbc-7287-4dd8-988e-b502ec065f41,en,administrative,verwaltung,C1,C1,C1,
level_as_category_or_word_world,9ea4cad3-28cd-47aa-a988-502cdb12c2cb,en,administrator,administrator,C1,C1,C1,
level_as_category_or_word_world,31470b17-28d6-4c7a-b022-ec410c181257,en,admire,bewundern,A1,B1,B1,
level_as_category_or_word_world,4e1ad37c-8252-4f0c-bedb-046e90d7c6f4,en,admission,zulassung,C1,C1,C1,
level_as_category_or_word_world,54aa7304-ae18-4b4f-9b91-dc8173176f80,en,admit,zugeben,B1,B1,B1,
level_as_category_or_word_world,5fd364d0-439d-45bc-94c3-0d5d6d5fc4ff,en,adolescent,jugendlicher,C1,C1,C1,
level_as_category_or_word_world,6f94fbe7-0964-4528-a758-8d60b4631566,en,adopt,adoptieren,B2,B2,B2,
level_as_category_or_word_world,0ed96290-17c1-48b2-836f-b415a0510e7e,en,adoption,adoption,C1,C1,C1,
level_as_category_or_word_world,6f5cef0c-342a-4970-8fa2-f74df81879fb,en,adult,erwachsene,A2,A1; A2,A1; A2,
level_as_category_or_word_world,91f7f0cc-6081-4d53-81ad-c3471dd56194,en,advance,vorschuss,B2,B2,B2,
level_as_category_or_word_world,18b2ac79-7475-4859-a002-4e40e4f8d100,en,advanced,erweiterte,B1,B1,B1,
level_as_category_or_word_world,82083747-9ecd-40d1-a70a-3fd918a60146,en,advantage,vorteil,A2,A2,A2,
level_as_category_or_word_world,c68aadd0-2d09-47d5-886a-e27cb3b18740,en,adventure,abenteuer,A2,A2,A2,
level_as_category_or_word_world,a74186e3-cf89-421c-8837-e900c568932b,en,ADVERB,ADVERB,C2,C2,C2,
level_as_category_or_word_world,a8efaa62-f848-4b99-b701-57398e890793,en,adverse,nachteilig,C1,C1,C1,
level_as_category_or_word_world,fa62bbd8-47b1-4ee2-9cb5-c2be65560ad2,en,advertise,inserieren,A2,A2,A2,
level_as_category_or_word_world,32bddecf-8604-4e46-ad86-ed87aa182e07,en,advertisement,anzeige,A2,A2,A2,
level_as_category_or_word_world,b679f3bd-5006-4ca3-b940-78dfd540056f,en,advertising,werbung,A2,A2,A2,
level_as_category_or_word_world,648e9c81-a37d-4287-9f6e-6a7b639d757e,en,advice,beratung,A1,A1,A1,
level_as_category_or_word_world,69cb0700-9d51-4b21-bc99-e82deb11c77e,en,advise,beraten,B1,B1,B1,
level_as_category_or_word_world,695bc9d7-9c0a-4f95-a65a-8f3ab6244361,en,advocate,befürworter,C1,C1,C1,
level_as_category_or_word_world,3363a26e-ae4d-43c7-a5f4-9f2aaff0a7c0,en,aesthetic,ästhetik,C1,Art & Literature; C1,Art & Literature,
level_as_category_or_word_world,d218871f-e2a4-4ea8-abf3-28905a8585d6,en,affair,affäre,B2,B2,B2,
level_as_category_or_word_world,788eb17a-591e-4de2-800a-049d3f7ea091,en,affect,beeinflussen,A2,A2,A2,
level_as_category_or_word_world,8b55a75a-1c36-416a-843d-93301e384cd5,en,affection,zuneigung,B1,C1,C1,
level_as_category_or_word_world,19b6af90-4e1c-44da-b878-aa02fea6b416,en,affectionate,zärtlich,A2,C2,C2,
level_as_category_or_word_world,fa0f0486-2bd2-4b68-b4a6-6f5ae56ef7c7,en,afford,leisten,B1,B1,B1,
level_as_category_or_word_world,1bde0f83-6f61-442d-be8f-5d28274f86af,en,affordable,erschwinglich,B2,B2; Money & Shopping,Money & Shopping,
level_as_category_or_word_world,42153ff6-e241-4569-9f75-7d1b6b5d367b,en,afraid,ängstlich,C1,A1,A1,
level_as_category_or_word_world,004e283b-efdf-4b34-8f2c-160334f577a5,en,after,nach,A2,A1; A2; Top 500 Words,A1; A2; Top 500 Words,
top_500_as_category_or_word_world,004e283b-efdf-4b34-8f2c-160334f577a5,en,after,nach,A2,A1; A2; Top 500 Words,A1; A2; Top 500 Words,
level_as_category_or_word_world,3a91b797-294a-4139-b17f-daffd83dc774,en,aftermath,nachwehen,C1,C1,C1,
level_as_category_or_word_world,4932c77e-8fda-41ab-a211-49ff3dd36dcc,en,afternoon,nachmittag,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,4932c77e-8fda-41ab-a211-49ff3dd36dcc,en,afternoon,nachmittag,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,ccb6a299-be0d-49cd-b1e6-bcee98bf7eec,en,again,wieder,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,ccb6a299-be0d-49cd-b1e6-bcee98bf7eec,en,again,wieder,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,4398aa3d-628a-40be-9987-b1dc452e0ec1,en,against,gegen,A2,A2,A2,
level_as_category_or_word_world,da97a037-fc18-4a8b-9cab-412c018a44dc,en,age,alter,B1,A1; B1; Top 500 Words,A1; B1; Top 500 Words,
top_500_as_category_or_word_world,da97a037-fc18-4a8b-9cab-412c018a44dc,en,age,alter,B1,A1; B1; Top 500 Words,A1; B1; Top 500 Words,
level_as_category_or_word_world,38b0d616-97d1-4774-a787-f2c355b1c262,en,aged,im Alter von,B2,B2,B2,
level_as_category_or_word_world,1e8579bc-cadf-42ed-9553-e1a7a5627bc6,en,agenda,Tagesordnung,B1,B2; Work & Careers,Work & Careers,
level_as_category_or_word_world,65de2773-9b1b-45b2-942b-20240747d513,en,agent,agent,B1,B1,B1,
level_as_category_or_word_world,488e817e-42db-4c9f-bec5-a6428840312a,en,aggression,aggression,A2,C1,C1,
level_as_category_or_word_world,1680ec4f-5390-43b4-8418-07714be3f269,en,aggressive,aggressiv,C1,Animals; B2,Animals,
level_as_category_or_word_world,74d25299-117a-483e-88b5-6fe58cc59532,en,ago,vor,A1,A1,A1,
level_as_category_or_word_world,3dadc66d-6fd9-42a5-9949-8a99a8ad0045,en,agree,zustimmen,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,3dadc66d-6fd9-42a5-9949-8a99a8ad0045,en,agree,zustimmen,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,754df01a-debe-4314-9936-24a2a0bf3ee8,en,agreement,Vereinbarung,B1,B1; Relationships,Relationships,
level_as_category_or_word_world,8b491d2f-636f-4bf6-8315-de1576dcc334,en,agricultural,landwirtschaft,C1,C1,C1,
level_as_category_or_word_world,224e0758-0f90-4503-a4f3-4e426fa1985f,en,agriculture,landwirtschaft,B2,B2,B2,
level_as_category_or_word_world,f9a25f38-d55b-47f8-a3bb-e0a4fa9abc6a,en,ah,ah,A2,A2,A2,
level_as_category_or_word_world,1b30bd69-bc03-4602-9e49-ffcbc0f58a82,en,ahead,voraus,B1,B1,B1,
level_as_category_or_word_world,17b3dfc7-df90-4286-99a7-b44769c6308c,en,aid,hilfe,B2,B2,B2,
level_as_category_or_word_world,1853dc94-6f05-4e26-a6ef-13c90abc645a,en,aide,adjutant,C1,C1,C1,
level_as_category_or_word_world,4ad508cb-54f0-4254-a427-550a40cac0c0,en,AIDS,AIDS,B2,B2,B2,
level_as_category_or_word_world,e07c464f-fd37-457a-a452-09dfb21f79fe,en,aim,ziel,B1,B1,B1,
level_as_category_or_word_world,68bce87a-021c-471e-bf8b-f3b88c439530,en,air,Luft,A1,A1; Environment; Top 500 Words,Environment,
top_500_as_category_or_word_world,68bce87a-021c-471e-bf8b-f3b88c439530,en,air,Luft,A1,A1; Environment; Top 500 Words,Environment,
level_as_category_or_word_world,847972db-6c92-4d1b-b308-29eb95de6e6d,en,aircraft,flugzeug,B2,B2,B2,
level_as_category_or_word_world,70f6140c-77b1-45a4-8f93-f77e62ca3ddc,en,airline,fluggesellschaft,A2,A2,A2,
level_as_category_or_word_world,c1015783-60e2-4059-b052-e60e5b855c40,en,airport,Flughafen,A1,A1; Top 500 Words; Travel,Travel,
top_500_as_category_or_word_world,c1015783-60e2-4059-b052-e60e5b855c40,en,airport,Flughafen,A1,A1; Top 500 Words; Travel,Travel,
level_as_category_or_word_world,b77e7e05-186a-42ad-be56-0ad0f3ee16ab,en,alarm,alarm,B2,B1; B2,B1; B2,
level_as_category_or_word_world,ca509ad0-0742-4f29-b841-3e18957f1b1d,en,albeit,wenn auch,C2,C2,C2,
level_as_category_or_word_world,de6c0a9e-ea9a-453c-b331-90b4789a3fab,en,album,album,B1,B1,B1,
level_as_category_or_word_world,7d416fbd-f2b3-4f44-b8db-09cf8076a500,en,alcohol,alkohol,B1,B1; Science,Science,
level_as_category_or_word_world,350aaa5a-21f6-43b8-83c5-00a97327ee3a,en,alcoholic,alkoholisch,B1,B1,B1,
level_as_category_or_word_world,e3f169dc-0a83-4d9b-981e-a89031d901b1,en,alert,alarm,C1,C1,C1,
level_as_category_or_word_world,cd3de28a-7423-4b89-b4aa-026ffef14b0a,en,alien,außerirdische,C1,B2; C1,B2; C1,
level_as_category_or_word_world,2cd809e2-6ee4-4a21-a761-3c130285939d,en,align,ausrichten,C1,C1,C1,
level_as_category_or_word_world,a851eb02-ada6-4f4b-bb57-1b24df3ac2e2,en,alignment,ausrichtung,C1,C1,C1,
level_as_category_or_word_world,8977ad1b-59de-486d-bbde-087364c71763,en,alike,gleich,C1,C1,C1,
level_as_category_or_word_world,9c3f05f4-ccc3-4072-a692-4224a47866d8,en,alive,lebendig,A2,A2,A2,
level_as_category_or_word_world,d69efa59-b789-4845-93b9-58deb1fb4e1a,en,all,alle,A2,A1; A2,A1; A2,
level_as_category_or_word_world,086ea832-17e6-4d07-b32d-b3d56c440cf7,en,allegation,behauptung,C1,C1,C1,
level_as_category_or_word_world,78a944f4-ba2c-4c49-a2c9-b712ba60fe7c,en,allege,behaupten,C1,C1,C1,
level_as_category_or_word_world,51f36c8a-bd60-43e0-9331-663d36b8d202,en,allegedly,angeblich,C1,C1,C1,
level_as_category_or_word_world,5c13d0ee-3189-48fc-99a5-8fdc00cb5065,en,alliance,allianz,C1,C1,C1,
level_as_category_or_word_world,39ccca58-06a5-4d81-b343-f9db8a0ed381,en,allied,verbündete,C2,C2,C2,
level_as_category_or_word_world,849e8ab4-79b2-48f0-b8d1-0fac49da7afb,en,allocate,zuweisen,C1,C1,C1,
level_as_category_or_word_world,afd333f4-1fac-4c4b-9085-f68b4bb89aea,en,allocation,zuteilung,C1,C1,C1,
level_as_category_or_word_world,931d4c05-6076-4fb1-96a2-25da99cf65c0,en,allow,erlauben,C2,C2; Top 500 Words,C2; Top 500 Words,
top_500_as_category_or_word_world,931d4c05-6076-4fb1-96a2-25da99cf65c0,en,allow,erlauben,C2,C2; Top 500 Words,C2; Top 500 Words,
level_as_category_or_word_world,028f098f-a545-4ab0-bedb-5596cdb23ec0,en,allowance,Freibetrag,C1,C1; Money & Shopping,Money & Shopping,
level_as_category_or_word_world,6b38345f-ea0b-49f6-9118-7a23628f24ef,en,ally,ally,C1,C1,C1,
level_as_category_or_word_world,fcc46733-aef5-4d9d-ad91-93cc259a3f0c,en,alone,allein,A2,A2; Top 500 Words,A2; Top 500 Words,
top_500_as_category_or_word_world,fcc46733-aef5-4d9d-ad91-93cc259a3f0c,en,alone,allein,A2,A2; Top 500 Words,A2; Top 500 Words,
level_as_category_or_word_world,71e0c49d-b9ed-407e-9ae3-19626079ee09,en,along,entlang,A2,A2,A2,
level_as_category_or_word_world,3a1b15c8-dd62-42c6-b62f-bee5adbe476d,en,alongside,neben,B2,B2,B2,
level_as_category_or_word_world,22439712-19ad-4cbb-abf0-c079473b6197,en,already,bereits,A2,A2; Top 500 Words,A2; Top 500 Words,
top_500_as_category_or_word_world,22439712-19ad-4cbb-abf0-c079473b6197,en,already,bereits,A2,A2; Top 500 Words,A2; Top 500 Words,
top_500_as_category_or_word_world,af35a638-4c68-426a-a843-c04bfe35da08,en,alright,in Ordnung,B1,Top 500 Words,Top 500 Words,
level_as_category_or_word_world,ab79605c-d588-4605-b895-117fd3aaae2c,en,also,auch,A1,A1,A1,
level_as_category_or_word_world,9cb0efa1-a550-43cb-ad36-9993c32c5e02,en,alter,ändern,B2,B2,B2,
level_as_category_or_word_world,aa05a3a3-759b-45c4-825c-d264a348c14e,en,alternative,alternativ,B1,A2; B1,A2; B1,
level_as_category_or_word_world,504af0dd-28ea-4065-8391-7905d8a6cffb,en,although,obwohl,A2,A2,A2,
level_as_category_or_word_world,6d2a1d2b-d3ba-4ac3-8e7a-bbe190aa8a3e,en,altogether,insgesamt,B2,B2,B2,
level_as_category_or_word_world,fc5b5f66-e8b8-4497-b6ba-bde043a778d1,en,aluminum,aluminium,C1,C1,C1,
level_as_category_or_word_world,bc9a0c8a-1a59-45ce-80da-71f2236c00e1,en,always,immer,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,bc9a0c8a-1a59-45ce-80da-71f2236c00e1,en,always,immer,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,2286daad-f08d-4e85-90ea-c004cdd8bf38,en,amateur,amateur,C1,C1,C1,
level_as_category_or_word_world,d575c284-d62e-472d-ad84-742c07f92e0f,en,amazed,erstaunt,B1,B1,B1,
level_as_category_or_word_world,28d41214-889f-42ea-af4d-8ac633dfec85,en,amazing,erstaunlich,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,28d41214-889f-42ea-af4d-8ac633dfec85,en,amazing,erstaunlich,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,0ea55126-9b38-47b9-a483-9767df0660f0,en,ambassador,botschafter,C1,C1,C1,
level_as_category_or_word_world,3f7c649a-f5ff-4bfe-a073-dad3d0ed13a4,en,ambiguity,mehrdeutigkeit,C2,C2,C2,
level_as_category_or_word_world,6bc8b250-fe6e-41d2-b407-9ca0d4009c4e,en,ambiguous,zweideutig,C2,C2,C2,
level_as_category_or_word_world,908ff04e-574a-4664-9a10-2bc5f04afc5c,en,ambition,ehrgeiz,B1,B1,B1,
level_as_category_or_word_world,9fef5f00-517c-4b91-91f4-a8690addf177,en,ambitious,ehrgeizig,B1,B2,B2,
level_as_category_or_word_world,286255c0-4e31-481c-938e-92ec9c3a813d,en,ambulance,krankenwagen,B2,B2,B2,
level_as_category_or_word_world,68b2e673-dac2-4b8e-a7cd-ee868572eda7,en,amend,ändern,C1,C1,C1,
level_as_category_or_word_world,38566775-63a8-45a7-8243-8f64ae27d825,en,amendment,änderung,C1,C1,C1,
