"duplicate_group_key","duplicate_type","word_id","term","translation","from_lang","to_lang","current_category_names","current_level","current_tags","proposed_action","keep_word_id","notes"
"interview|en|de","term/from_lang/to_lang","b07abd1a-d672-4f35-a12c-86c0ff47062d","interview","Interview","en","de","A1; Media & News","A1","","","",""
"it|en|de","term/from_lang/to_lang","2c4d89ae-cfd7-4927-a5ac-585855bf0191","it","es","en","de","A1; Top 500 Words","A1","","","",""
"it|en|de","term/from_lang/to_lang","cfcfbb0d-c9ee-4401-8ff4-1f9967def679","IT","IT","en","de","B1","B1","","","",""
"march|en|de","term/from_lang/to_lang","580cb159-f590-48a8-8097-5f071ae3910b","march","märz","en","de","C1","C1","","","",""
"march|en|de","term/from_lang/to_lang","4b25bc9e-6b24-4365-94a7-eafc643f3478","March","März","en","de","A1","A1","","","",""
"may|en|de","term/from_lang/to_lang","7e13f364-e57a-4b02-a693-dbfd6b82dbc9","may","mai","en","de","A2; Grammar & Syntax","A2","","","",""
"may|en|de","term/from_lang/to_lang","1258ac7f-a1cf-4272-89fd-133da42d97be","May","Mai","en","de","A1","A1","","","",""
"monday|en|de","term/from_lang/to_lang","f46d6361-092b-43f9-89d1-c38e629a1188","monday","montag","en","de","Top 500 Words","B1","","","",""
"monday|en|de","term/from_lang/to_lang","d0690e47-e51b-4378-a132-9f2947af74d0","Monday","Montag","en","de","A1","A1","","","",""
"noun|en|de","term/from_lang/to_lang","04bec203-a957-492b-80ae-3daeda5a8cb3","noun","substantiv","en","de","Grammar & Syntax","B2","","","",""
"noun|en|de","term/from_lang/to_lang","d2b0a941-bc29-4b99-a1c6-0b117d905a42","NOUN","NOUN","en","de","C2","C2","","","",""
"pin|en|de","term/from_lang/to_lang","fed1826a-4021-4a7e-9df7-26741afc9b29","pin","stift","en","de","B1","B1","","","",""
"pin|en|de","term/from_lang/to_lang","dd592b58-277e-421f-ae9c-7bd20a8806db","PIN","PIN","en","de","Money & Shopping","A2","","","",""
"preposition|en|de","term/from_lang/to_lang","5a8e0e08-2488-4b37-99a0-9c01edde2c47","preposition","präposition","en","de","Grammar & Syntax","B2","","","",""
"preposition|en|de","term/from_lang/to_lang","4ccd9745-b256-40b4-b93b-5289af9b1709","PREPOSITION","PREPOSITION","en","de","C2","C2","","","",""
"report|en|de","term/from_lang/to_lang","31b9fd7e-fbbf-44fa-af67-40c66144f843","report","Bericht","EN","DE","Productivity","","","","",""
"report|en|de","term/from_lang/to_lang","70fbac34-dad7-4af5-986a-19942af4baf5","report","bericht","en","de","A1; A2","A2","","","",""
"satellite|en|de","term/from_lang/to_lang","32464b29-fec5-4fd3-ba25-a873e3b0f8eb","satellite","Satellit","EN","DE","","","","","",""
"satellite|en|de","term/from_lang/to_lang","e0d7acc3-7b01-48b4-a6e8-2f0cb06ad422","satellite","satellit","en","de","B2; Space","B2","","","",""
"saturday|en|de","term/from_lang/to_lang","56ceb18d-3262-4031-9884-2d96fce9ea6c","saturday","samstag","en","de","Top 500 Words","A2","","","",""
"saturday|en|de","term/from_lang/to_lang","f7fc6762-bd28-4bc5-97f5-97402cce62a4","Saturday","Samstag","en","de","A1","A1","","","",""
"sunday|en|de","term/from_lang/to_lang","25f3eb07-223e-4ce4-ae32-3501a3daa0a7","sunday","sonntags","en","de","Top 500 Words","B1","","","",""
"sunday|en|de","term/from_lang/to_lang","78aeddcd-d89e-4110-b59b-a4dd72cde9e7","Sunday","Sonntag","en","de","A1","A1","","","",""
"thursday|en|de","term/from_lang/to_lang","9a8d6592-71d2-4cdb-91dc-e9654eb84307","thursday","donnerstag","en","de","Top 500 Words","B1","","","",""
"thursday|en|de","term/from_lang/to_lang","ceda131e-81c9-4b26-8435-31d0b8dbc09a","Thursday","Donnerstag","en","de","A1","A1","","","",""
"tuesday|en|de","term/from_lang/to_lang","fa3902de-3324-4c19-9e27-cdd8e2df6bd6","tuesday","dienstag","en","de","Top 500 Words","A2","","","",""
"tuesday|en|de","term/from_lang/to_lang","fe0f12d5-4818-4a01-ab40-4c7301106525","Tuesday","Dienstag","en","de","A1","A1","","","",""
"verb|en|de","term/from_lang/to_lang","bba73cb7-263e-4c75-8d55-9c869e8af29f","verb","verb","en","de","Grammar & Syntax","A1","","","",""
"verb|en|de","term/from_lang/to_lang","b89c2920-f157-43ce-8313-00318b189057","VERB","VERB","en","de","C2","C2","","","",""
"adjective|adjektiv|en|de","term/translation/from_lang/to_lang","969a31a5-c475-4ec9-b62f-b55829f5b669","adjective","adjektiv","en","de","Grammar & Syntax","A2","","","",""
"adjective|adjektiv|en|de","term/translation/from_lang/to_lang","f91f2280-02de-4ffa-82dc-bd442443a67a","ADJECTIVE","ADJEKTIV","en","de","C2","C2","","","",""
"adverb|adverb|en|de","term/translation/from_lang/to_lang","8f1acc1f-759c-4615-9110-73304615a149","adverb","adverb","en","de","Grammar & Syntax","A2","","","",""
"adverb|adverb|en|de","term/translation/from_lang/to_lang","a74186e3-cf89-421c-8837-e900c568932b","ADVERB","ADVERB","en","de","C2","C2","","","",""
"behind|hinter|en|de","term/translation/from_lang/to_lang","3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb","behind","hinter","EN","DE","Productivity","","","","",""
"behind|hinter|en|de","term/translation/from_lang/to_lang","857507cd-ca70-4a7d-bc5f-66dc09e7f648","behind","hinter","en","de","A1","A1","","","",""
"dash|bindestrich|en|de","term/translation/from_lang/to_lang","0a29d3d0-ad57-4c78-94b7-ad6d603915c0","dash","Bindestrich","EN","DE","Productivity","","","","",""
"dash|bindestrich|en|de","term/translation/from_lang/to_lang","e09286d3-351c-4f04-a14a-b7d851c25713","dash","bindestrich","en","de","C2","C2","","","",""
"entire|gesamte|en|de","term/translation/from_lang/to_lang","37a99d9c-9192-44ce-83b9-08eee8bca169","entire","gesamte","EN","DE","Productivity","","","","",""
"entire|gesamte|en|de","term/translation/from_lang/to_lang","2a5d060a-cddf-4a67-8ce7-a21367c00fe1","entire","gesamte","en","de","B2","B2","","","",""
"friday|freitag|en|de","term/translation/from_lang/to_lang","b55a6414-ed80-41ad-b963-f409eeb457d4","friday","freitag","en","de","Top 500 Words","A1","","","",""
"friday|freitag|en|de","term/translation/from_lang/to_lang","e7f53ea2-1273-4091-923d-74b4b9b7ab53","Friday","Freitag","en","de","A1","A1","","","",""
"interview|interview|en|de","term/translation/from_lang/to_lang","1aff8ead-820c-447c-9dc9-fe5981d91412","interview","Interview","EN","DE","Productivity","","","","",""
"interview|interview|en|de","term/translation/from_lang/to_lang","b07abd1a-d672-4f35-a12c-86c0ff47062d","interview","Interview","en","de","A1; Media & News","A1","","","",""
"march|märz|en|de","term/translation/from_lang/to_lang","580cb159-f590-48a8-8097-5f071ae3910b","march","märz","en","de","C1","C1","","","",""
"march|märz|en|de","term/translation/from_lang/to_lang","4b25bc9e-6b24-4365-94a7-eafc643f3478","March","März","en","de","A1","A1","","","",""
"may|mai|en|de","term/translation/from_lang/to_lang","7e13f364-e57a-4b02-a693-dbfd6b82dbc9","may","mai","en","de","A2; Grammar & Syntax","A2","","","",""
"may|mai|en|de","term/translation/from_lang/to_lang","1258ac7f-a1cf-4272-89fd-133da42d97be","May","Mai","en","de","A1","A1","","","",""
"monday|montag|en|de","term/translation/from_lang/to_lang","f46d6361-092b-43f9-89d1-c38e629a1188","monday","montag","en","de","Top 500 Words","B1","","","",""
"monday|montag|en|de","term/translation/from_lang/to_lang","d0690e47-e51b-4378-a132-9f2947af74d0","Monday","Montag","en","de","A1","A1","","","",""
"report|bericht|en|de","term/translation/from_lang/to_lang","31b9fd7e-fbbf-44fa-af67-40c66144f843","report","Bericht","EN","DE","Productivity","","","","",""
"report|bericht|en|de","term/translation/from_lang/to_lang","70fbac34-dad7-4af5-986a-19942af4baf5","report","bericht","en","de","A1; A2","A2","","","",""
"satellite|satellit|en|de","term/translation/from_lang/to_lang","32464b29-fec5-4fd3-ba25-a873e3b0f8eb","satellite","Satellit","EN","DE","","","","","",""
"satellite|satellit|en|de","term/translation/from_lang/to_lang","e0d7acc3-7b01-48b4-a6e8-2f0cb06ad422","satellite","satellit","en","de","B2; Space","B2","","","",""
"saturday|samstag|en|de","term/translation/from_lang/to_lang","56ceb18d-3262-4031-9884-2d96fce9ea6c","saturday","samstag","en","de","Top 500 Words","A2","","","",""
"saturday|samstag|en|de","term/translation/from_lang/to_lang","f7fc6762-bd28-4bc5-97f5-97402cce62a4","Saturday","Samstag","en","de","A1","A1","","","",""
"thursday|donnerstag|en|de","term/translation/from_lang/to_lang","9a8d6592-71d2-4cdb-91dc-e9654eb84307","thursday","donnerstag","en","de","Top 500 Words","B1","","","",""
"thursday|donnerstag|en|de","term/translation/from_lang/to_lang","ceda131e-81c9-4b26-8435-31d0b8dbc09a","Thursday","Donnerstag","en","de","A1","A1","","","",""
"tuesday|dienstag|en|de","term/translation/from_lang/to_lang","fa3902de-3324-4c19-9e27-cdd8e2df6bd6","tuesday","dienstag","en","de","Top 500 Words","A2","","","",""
"tuesday|dienstag|en|de","term/translation/from_lang/to_lang","fe0f12d5-4818-4a01-ab40-4c7301106525","Tuesday","Dienstag","en","de","A1","A1","","","",""
"verb|verb|en|de","term/translation/from_lang/to_lang","bba73cb7-263e-4c75-8d55-9c869e8af29f","verb","verb","en","de","Grammar & Syntax","A1","","","",""
"verb|verb|en|de","term/translation/from_lang/to_lang","b89c2920-f157-43ce-8313-00318b189057","VERB","VERB","en","de","C2","C2","","","",""
