review_block,priority,word_key,base_term,de_translation,level,category,word_world,conflict_type,suggested_action,review_decision,review_note
exakte_dubletten,1,d0690e47-e51b-4378-a132-9f2947af74d0,Monday,Montag,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,31b9fd7e-fbbf-44fa-af67-40c66144f843,report,Bericht,,Productivity,Productivity,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,70fbac34-dad7-4af5-986a-19942af4baf5,report,bericht,A2,A1; A2,A1; A2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,32464b29-fec5-4fd3-ba25-a873e3b0f8eb,satellite,Satellit,,,,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,e0d7acc3-7b01-48b4-a6e8-2f0cb06ad422,satellite,satellit,B2,B2; Space,Space,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,56ceb18d-3262-4031-9884-2d96fce9ea6c,saturday,samstag,A2,Top 500 Words,Top 500 Words,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,f7fc6762-bd28-4bc5-97f5-97402cce62a4,Saturday,Samstag,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,9a8d6592-71d2-4cdb-91dc-e9654eb84307,thursday,donnerstag,B1,Top 500 Words,Top 500 Words,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,ceda131e-81c9-4b26-8435-31d0b8dbc09a,Thursday,Donnerstag,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,fa3902de-3324-4c19-9e27-cdd8e2df6bd6,tuesday,dienstag,A2,Top 500 Words,Top 500 Words,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,fe0f12d5-4818-4a01-ab40-4c7301106525,Tuesday,Dienstag,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,bba73cb7-263e-4c75-8d55-9c869e8af29f,verb,verb,A1,Grammar & Syntax,Grammar & Syntax,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,b89c2920-f157-43ce-8313-00318b189057,VERB,VERB,C2,C2,C2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
case_varianten,2,969a31a5-c475-4ec9-b62f-b55829f5b669,adjective,adjektiv,A2,Grammar & Syntax,Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,f91f2280-02de-4ffa-82dc-bd442443a67a,ADJECTIVE,ADJEKTIV,C2,C2,C2,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,8f1acc1f-759c-4615-9110-73304615a149,adverb,adverb,A2,Grammar & Syntax,Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,a74186e3-cf89-421c-8837-e900c568932b,ADVERB,ADVERB,C2,C2,C2,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,b55a6414-ed80-41ad-b963-f409eeb457d4,friday,freitag,A1,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,e7f53ea2-1273-4091-923d-74b4b9b7ab53,Friday,Freitag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,2c4d89ae-cfd7-4927-a5ac-585855bf0191,it,es,A1,A1; Top 500 Words,A1; Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,cfcfbb0d-c9ee-4401-8ff4-1f9967def679,IT,IT,B1,B1,B1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,580cb159-f590-48a8-8097-5f071ae3910b,march,märz,C1,C1,C1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,4b25bc9e-6b24-4365-94a7-eafc643f3478,March,März,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,7e13f364-e57a-4b02-a693-dbfd6b82dbc9,may,mai,A2,A2; Grammar & Syntax,A2; Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,1258ac7f-a1cf-4272-89fd-133da42d97be,May,Mai,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,f46d6361-092b-43f9-89d1-c38e629a1188,monday,montag,B1,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,d0690e47-e51b-4378-a132-9f2947af74d0,Monday,Montag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,04bec203-a957-492b-80ae-3daeda5a8cb3,noun,substantiv,B2,Grammar & Syntax,Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,d2b0a941-bc29-4b99-a1c6-0b117d905a42,NOUN,NOUN,C2,C2,C2,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,fed1826a-4021-4a7e-9df7-26741afc9b29,pin,stift,B1,B1,B1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,dd592b58-277e-421f-ae9c-7bd20a8806db,PIN,PIN,A2,Money & Shopping,Money & Shopping,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,5a8e0e08-2488-4b37-99a0-9c01edde2c47,preposition,präposition,B2,Grammar & Syntax,Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,4ccd9745-b256-40b4-b93b-5289af9b1709,PREPOSITION,PREPOSITION,C2,C2,C2,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,56ceb18d-3262-4031-9884-2d96fce9ea6c,saturday,samstag,A2,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,f7fc6762-bd28-4bc5-97f5-97402cce62a4,Saturday,Samstag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,25f3eb07-223e-4ce4-ae32-3501a3daa0a7,sunday,sonntags,B1,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,78aeddcd-d89e-4110-b59b-a4dd72cde9e7,Sunday,Sonntag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,9a8d6592-71d2-4cdb-91dc-e9654eb84307,thursday,donnerstag,B1,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,ceda131e-81c9-4b26-8435-31d0b8dbc09a,Thursday,Donnerstag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,fa3902de-3324-4c19-9e27-cdd8e2df6bd6,tuesday,dienstag,A2,Top 500 Words,Top 500 Words,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,fe0f12d5-4818-4a01-ab40-4c7301106525,Tuesday,Dienstag,A1,A1,A1,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,bba73cb7-263e-4c75-8d55-9c869e8af29f,verb,verb,A1,Grammar & Syntax,Grammar & Syntax,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
case_varianten,2,b89c2920-f157-43ce-8313-00318b189057,VERB,VERB,C2,C2,C2,case_variant,canonical_case / merge_later / split_meaning / needs_context,,
bedeutungsvarianten,3,8b48b271-2a4e-472e-a0d1-99c142cdc1ab,incident,Vorfall,,,,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,f054cac4-7825-4d46-975e-ca008040a3ee,incident,Störung/Vorfall,B1,B2; Work & Careers,Work & Careers,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,2c4d89ae-cfd7-4927-a5ac-585855bf0191,it,es,A1,A1; Top 500 Words,A1; Top 500 Words,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,cfcfbb0d-c9ee-4401-8ff4-1f9967def679,IT,IT,B1,B1,B1,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,ba6b854f-c6af-4751-b9e8-61d8374272a2,move,bewegen,B1,A1; B1; Top 500 Words,A1; B1; Top 500 Words,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,0c165b4c-2afb-4861-ac60-75bf59a8611b,move,umziehen,,,,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,04bec203-a957-492b-80ae-3daeda5a8cb3,noun,substantiv,B2,Grammar & Syntax,Grammar & Syntax,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,d2b0a941-bc29-4b99-a1c6-0b117d905a42,NOUN,NOUN,C2,C2,C2,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,fed1826a-4021-4a7e-9df7-26741afc9b29,pin,stift,B1,B1,B1,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,dd592b58-277e-421f-ae9c-7bd20a8806db,PIN,PIN,A2,Money & Shopping,Money & Shopping,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,5a8e0e08-2488-4b37-99a0-9c01edde2c47,preposition,präposition,B2,Grammar & Syntax,Grammar & Syntax,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,4ccd9745-b256-40b4-b93b-5289af9b1709,PREPOSITION,PREPOSITION,C2,C2,C2,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,25f3eb07-223e-4ce4-ae32-3501a3daa0a7,sunday,sonntags,B1,Top 500 Words,Top 500 Words,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,78aeddcd-d89e-4110-b59b-a4dd72cde9e7,Sunday,Sonntag,A1,A1,A1,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,6a6e9ac6-ddc4-4ee0-a6a6-51d8ad8edf3f,throughout,durchgehend,,,,same_base_different_translation,split_meaning / meaning_note / needs_context,,
bedeutungsvarianten,3,8aae50ac-dadb-49ad-8ce6-89f6c501ecac,throughout,in ganz,B1,B1,B1,same_base_different_translation,split_meaning / meaning_note / needs_context,,
fehlende_level_kategorien,4,0003d2c4-9558-42b6-bf79-aa099e3f4701,approached,näherte sich,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,42cba640-454e-447b-b0e0-e5a44f8968c7,asked,fragte,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb,behind,hinter,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,b4b7f57d-f73a-492a-a693-63110229f7d7,buried,begraben,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,577f310a-1c4b-4e42-a925-187ba159394a,cities,Städte,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,0febef01-f685-4c8b-8826-af7753746fa3,confiscation,Beschlagnahmung,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,8915c19f-b3b8-44f6-a63c-6adea030086a,countries,Länder,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,0a29d3d0-ad57-4c78-94b7-ad6d603915c0,dash,Bindestrich,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,297c7517-c6ea-4340-9601-6405ee65d654,destroyed,zerstört,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,37a99d9c-9192-44ce-83b9-08eee8bca169,entire,gesamte,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,715a3af7-0244-4fff-a382-6ae153c66b0c,graves,Gräber,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,8b48b271-2a4e-472e-a0d1-99c142cdc1ab,incident,Vorfall,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,1aff8ead-820c-447c-9dc9-fe5981d91412,interview,Interview,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,0c165b4c-2afb-4861-ac60-75bf59a8611b,move,umziehen,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,ac426143-a234-4394-b48a-0928e6489b6c,reefs,Riffe,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,31b9fd7e-fbbf-44fa-af67-40c66144f843,report,Bericht,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,32464b29-fec5-4fd3-ba25-a873e3b0f8eb,satellite,Satellit,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,9dea269e-4638-47bc-b4c9-3ca0c7e21733,seized,beschlagnahmt,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,87e752ea-e944-469a-ad9e-9037a79ee7d5,serving,unter,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,66d4eaa9-66d7-47fb-a8e6-58e14823e1a2,sites,Standorte,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,61ca2b4e-332c-4a20-82a8-76e962482f15,sold,verkauft,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,fd72add0-6144-4b98-bc52-4a737434c4ac,soldiers,Soldaten,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,094a3407-d275-4ea9-ad89-198218618dcf,stationery,Schreibwaren,,Productivity,Productivity,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,2a7e4ef2-4585-4b25-9c63-d81bc694cce5,superstar,Superstar,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
fehlende_level_kategorien,4,6a6e9ac6-ddc4-4ee0-a6a6-51d8ad8edf3f,throughout,durchgehend,,,,missing_level_or_category,set_level / set_word_world / needs_context,,
