screenshot_priority,word_key,base_term,de_translation,level,category,word_world,suggested_use,selection_note
food-13,2f191114-7bb2-432d-b15f-20cf6896043f,cheese,Käse,A1,A1; Food & Cooking,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-14,29c3adef-28bf-49e5-a656-40ca0411b888,chicken,Hähnchen,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-15,5bc09c6e-88ed-4418-8c01-9e11ed89bdc9,chocolate,Schokolade,A1,A1; Food & Cooking,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-16,99b7ecbe-3fc5-4651-9725-b6e848088499,coffee,Kaffee,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-17,dc3ce695-e4f6-4c53-a762-8b33ed616135,cold,kalt,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-18,2fe0efde-b24a-456f-a0d3-b708cd470254,cup,Tasse,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-19,0de6fd96-1f5a-4612-ac07-681afb6e0753,delicious,köstlich,A1,A1; Food & Cooking,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-20,b1f9f5e5-e73e-4fd0-8a93-db3fa1e8d2c0,dinner,Abendessen,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-01,038a83f0-9059-44c2-b2e8-ddaf393a9da7,drawer,Schublade,A1,Home & Living,Home & Living,onboarding,approved_for_mvp; short everyday term
home-02,b63d2ba1-404a-4f43-81cd-d01bf1865755,hallway,Flur,A1,Home & Living,Home & Living,onboarding,approved_for_mvp; short everyday term
home-03,64929b7c-d80e-4404-a204-2509aee51faf,dish towel,Geschirrtuch,A1,Home & Living,Home & Living,onboarding,approved_for_mvp; short everyday term
home-04,0748c031-4b3e-4527-9435-57039e3aad66,living room,Wohnzimmer,A1,Home & Living,Home & Living,home_word_world,approved_for_mvp; short everyday term
home-05,59b4db44-22b7-4f1d-a0d8-6dcc7652227b,to brush teeth,Zähne putzen,A1,Home & Living,Home & Living,home_word_world,approved_for_mvp; short everyday term
home-06,00976e70-07ad-4c7a-948e-3488f13e8999,to clean,putzen,A1,Home & Living,Home & Living,home_word_world,approved_for_mvp; short everyday term
home-07,be279b26-1835-432a-9a8d-5716d766cca0,to eat at home,zu Hause essen,A1,Home & Living,Home & Living,home_word_world,approved_for_mvp; short everyday term
home-08,04ef8acc-ec27-48a0-adeb-b6067717de5c,to shower,duschen,A1,Home & Living,Home & Living,home_word_world,approved_for_mvp; short everyday term
home-09,5cf2477a-1afb-46f5-bb3b-c45ab8ae8d12,to sit,sitzen,A1,Home & Living,Home & Living,learn_mode,approved_for_mvp; short everyday term
home-10,06acc538-05bc-49a0-bf8c-430b3e329bc2,to sleep,schlafen,A1,Home & Living,Home & Living,learn_mode,approved_for_mvp; short everyday term
home-11,dce552a8-0a09-4254-b576-75f883c17bc0,apartment,Wohnung,A1,A1; Home & Living,Home & Living,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-12,851247c5-7f99-4435-b2d9-aca31e81c7d4,bathroom,Badezimmer,A1,A1; Home & Living; Top 500 Words,Home & Living,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-13,564bc29e-732d-4b0d-ab1a-d5416b03baa4,bed,Bett,A1,A1; Home & Living; Top 500 Words,Home & Living,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-14,1eab70e4-eef8-48c8-8b93-fce8d668017a,bedroom,Schlafzimmer,A1,A1; Home & Living,Home & Living,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-15,c2c3b45e-5453-47ae-9aab-559b287ee902,chair,Stuhl,A1,A1; B2; Home & Living; Top 500 Words; Work & Careers,Home & Living; Work & Careers,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-16,667cffa1-0ec2-405a-9ab6-ffda4b3c3f0a,garden,Garten,A1,A1; Home & Living; Top 500 Words,Home & Living,word_game,approved_for_mvp; structure metadata still needs later cleanup
home-17,c4cb61e9-0061-494e-97ae-a4b1f6395f29,to open the window,das Fenster öffnen,A1,Home & Living,Home & Living,learn_mode,approved_for_mvp; short everyday term
home-18,2d20dcc4-19de-4d4d-81f2-d6f2a2373d05,to wash the dishes,abwaschen,A1,Home & Living,Home & Living,learn_mode,approved_for_mvp; short everyday term
home-19,3dab5cbf-5140-412f-af0a-e94900321565,to water plants,Pflanzen gießen,A1,Home & Living,Home & Living,learn_mode,approved_for_mvp; short everyday term
home-20,383d4b4f-5ccc-45cb-835b-fc78fb82e91f,internet,Internet,A1,A1; Home & Living,Home & Living,word_game,approved_for_mvp; internationalism; avoid as sole translation example
